Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
0,38,100,100,6,55,5,55,5,45,5,45,10,45,5,45,5,45,5,45,5,45,5,55,5,55,6,55,5,55,6,55,6,55
0,50,100,100,7,21,6,55,6,45,6,45,12,25,6,45,6,45,6,45,6,45,8,46,6,55,8,46,6,55,9,56,9,56
6,53,100,100,8,20,7,21,6,55,7,21,18,55,7,21,7,45,7,21,7,21,10,35,8,46,14,25,8,46,16,30,16,30
7,20,100,100,8,46,8,20,7,21,7,45,19,15,7,45,8,20,8,20,7,45,16,30,9,56,17,25,9,56,17,25,17,25
7,38,100,100,9,56,9,20,7,45,8,20,20,45,8,20,9,20,9,20,8,20,18,20,10,35,18,20,10,35,19,26,19,26
7,47,100,100,10,35,9,56,8,20,9,20,22,15,9,20,12,25,13,45,9,20,21,25,14,25,19,55,14,25,21,25,21,25
8,5,100,100,15,45,10,35,8,46,10,45,100,100,10,45,15,45,16,15,10,45,100,100,16,30,100,100,16,30,100,100,100,100
8,25,100,100,18,55,10,45,9,56,12,25,100,100,12,25,17,15,19,35,12,25,100,100,17,25,100,100,17,25,100,100,100,100
8,38,100,100,19,26,12,25,10,35,13,45,100,100,13,45,18,55,21,15,13,45,100,100,18,20,100,100,18,20,100,100,100,100
9,35,100,100,20,45,18,20,13,45,15,45,100,100,15,45,19,45,100,100,15,45,100,100,19,26,100,100,19,26,100,100,100,100
9,35,100,100,20,45,18,20,13,45,15,45,100,100,15,45,19,45,100,100,15,45,100,100,19,26,100,100,19,26,100,100,100,100
10,9,100,100,100,100,18,55,14,25,16,15,100,100,16,15,20,45,100,100,16,15,100,100,19,55,100,100,19,55,100,100,100,100
10,21,100,100,100,100,19,15,15,45,17,15,100,100,17,15,100,100,100,100,17,15,100,100,21,25,100,100,21,25,100,100,100,100
11,10,100,100,100,100,20,45,17,15,18,55,100,100,18,55,100,100,100,100,18,55,100,100,23,15,100,100,23,15,100,100,100,100
11,38,100,100,100,100,21,15,17,25,19,15,100,100,19,15,100,100,100,100,19,15,100,100,100,100,100,100,100,100,100,100,100,100
11,49,100,100,100,100,21,25,19,26,19,35,100,100,19,35,100,100,100,100,19,35,100,100,100,100,100,100,100,100,100,100,100,100
13,7,100,100,100,100,22,55,19,45,19,45,100,100,19,45,100,100,100,100,19,45,100,100,100,100,100,100,100,100,100,100,100,100
14,18,100,100,100,100,23,15,19,55,20,45,100,100,20,45,100,100,100,100,20,45,100,100,100,100,100,100,100,100,100,100,100,100
15,0,100,100,100,100,100,100,20,45,21,15,100,100,21,15,100,100,100,100,21,15,100,100,100,100,100,100,100,100,100,100,100,100
16,18,100,100,100,100,100,100,22,55,22,15,100,100,22,15,100,100,100,100,22,15,100,100,100,100,100,100,100,100,100,100,100,100
16,18,100,100,100,100,100,100,22,55,22,15,100,100,22,15,100,100,100,100,22,15,100,100,100,100,100,100,100,100,100,100,100,100
16,31,100,100,100,100,100,100,100,100,22,55,100,100,22,55,100,100,100,100,22,55,100,100,100,100,100,100,100,100,100,100,100,100
16,51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,56,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
