Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
07:09,07:09,blank,06:19,07:05,06:19,09:39,06:19,08:30,07:31,06:19,08:56,07:05,07:05,07:05,07:05,07:05
07:36,07:36,blank,07:05,07:31,07:31,17:01,07:31,13:19,08:22,07:31,10:45,08:00,08:56,08:00,10:05,10:05
07:54,07:54,blank,07:31,08:30,08:22,19:04,08:22,15:56,08:30,08:22,15:40,08:56,blank,08:56,19:36,19:36
08:27,08:27,blank,08:30,08:56,08:30,20:56,08:30,19:04,12:49,08:30,blank,10:05,blank,10:05,blank,blank
09:05,16:40,blank,10:05,09:39,09:39,blank,09:39,20:56,17:01,09:39,blank,10:45,blank,10:45,blank,blank
09:55,17:06,blank,10:45,10:05,12:49,blank,12:49,blank,21:49,12:49,blank,15:40,blank,15:40,blank,blank
11:24,18:51,blank,12:49,10:45,13:19,blank,13:19,blank,blank,13:19,blank,19:36,blank,19:36,blank,blank
12:09,21:07,blank,13:19,15:40,15:56,blank,15:56,blank,blank,15:56,blank,blank,blank,blank,blank,blank
12:19,21:39,blank,15:40,15:56,17:01,blank,17:01,blank,blank,17:01,blank,blank,blank,blank,blank,blank
14:30,22:06,blank,19:04,19:36,19:04,blank,19:04,blank,blank,19:04,blank,blank,blank,blank,blank,blank
14:30,22:06,blank,19:04,19:36,19:04,blank,19:04,blank,blank,19:04,blank,blank,blank,blank,blank,blank
15:17,blank,blank,20:56,20:56,20:56,blank,20:56,blank,blank,20:56,blank,blank,blank,blank,blank,blank
15:44,blank,blank,blank,21:49,21:49,blank,21:49,blank,blank,21:49,blank,blank,blank,blank,blank,blank
16:40,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
17:06,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
18:19,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
18:51,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
19:55,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21:07,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21:39,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21:39,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
22:06,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
22:44,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
23:29,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
